Save Time, Player1, P1 Move, P1 Wins, Player2, P2 Move, P2 Wins, Winner
Tue Mar 21 08:32:46 2023,jonas,rock,0,kenan,paper,1,kenan,
Tue Mar 21 08:32:46 2023,jonas,rock,0,kenan,paper,2,kenan,
Tue Mar 21 09:33:50 2023,janooze,rock,0,Computer,paper,1,Computer,
Tue Mar 21 09:33:50 2023,janooze,paper,0,Computer,scissors,2,Computer,
Tue Mar 21 10:34:59 2023,1,rock,1,Computer,scissors,0,1,
Wed Mar 22 11:15:04 2023,poi,paper,0,Computer,scissors,1,Computer,
Wed Mar 22 11:17:39 2023,;lkj,scissors,0,Computer,rock,1,Computer,
Thu Mar 23 12:23:02 2023,1,scissors,0,Computer,scissors,0,Tie,
Thu Mar 23 12:23:02 2023,1,paper,0,Computer,paper,0,Tie,
Thu Mar 23 12:23:02 2023,1,rock,1,Computer,scissors,0,1,
Thu Mar 23 14:51:53 2023,dyan,scissors,1,gerard,paper,0,dyan,